Catálogo de Artículos,,,,,,,,,,,,,,
Iza Alejandro Zogbi Garcia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,CAMISA C/ PALOMA 44 AL 50 SHEGOBRE BOSIC,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,330,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,CAMISAS,,,,Precio:,,$ 330.00,,,,,
,,,,,,,,,,,,,,
,Categoría:,,CAMISA VESTIR,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,CRISTO CON ALFILER,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,990201,,,,Existencia:,,1200,,,,,
,,,,,,,,,,,,,,
,Departamento:,,MATERIA PRIMA,,,,Precio:,,$ 8.00,,,,,
,,,,,,,,,,,,,,
,Categoría:,,METAL CON CRISTAL,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,PIN,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,990302,,,,Existencia:,,1200,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BONETERIA,,,,Precio:,,$ 90.00,,,,,
,,,,,,,,,,,,,,
,Categoría:,,COBIJAS,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,SACO ORGANZA,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,AS0022,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BONETERIA,,,,Precio:,,$ 76.00,,,,,
,,,,,,,,,,,,,,
,Categoría:,,COBIJAS,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,GUIA ADORNO VESTIDO CRISTAL,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,AV0159,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,TIARAS,,,,Precio:,,$ 130.00,,,,,
,,,,,,,,,,,,,,
,Categoría:,,"TIARAS, GUIAS, DIADEMA, PEINETAS METALICAS",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,EQ. BATA PATO TUL ILUCION,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,BA0360,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BAUTIZO NIÑA,,,,Precio:,,$ 839.90,,,,,
,,,,,,,,,,,,,,
,Categoría:,,BATA,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,EQ. BATA ANA TUL BORDADO 3D,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,BA0377,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BAUTIZO NIÑA,,,,Precio:,,"$ 1,249.90",,,,,
,,,,,,,,,,,,,,
,Categoría:,,BATA,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,EQ. BATA ROS  MARIPOSAS 3D,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,BA0379,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BAUTIZO NIÑA,,,,Precio:,,"$ 1,249.90",,,,,
,,,,,,,,,,,,,,
,Categoría:,,BATA,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,EQ. BATA VICTORIA MANGA ESPAÑOLA C/PORTATRAJE VELA 100,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,BB0516,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BAUTIZO NIÑA,,,,Precio:,,"$ 1,099.90",,,,,
,,,,,,,,,,,,,,
,Categoría:,,BATA DESMONTABLE,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,EQ. BATA DOROTHY TUL ILUCION BORDADO,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,BB0724,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BAUTIZO NIÑA,,,,Precio:,,$ 839.90,,,,,
,,,,,,,,,,,,,,
,Categoría:,,BATA DESMONTABLE,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"EQ. BATA NASHIRA TUL LENTEJUELA VELA, TIARA Y C/PORTATRAJE",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,BB1022,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BAUTIZO NIÑA,,,,Precio:,,"$ 1,259.90",,,,,
,,,,,,,,,,,,,,
,Categoría:,,BATA DESMONTABLE,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,EQ. BATA TIRA BORDADA ALGODON,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,BB1258,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BAUTIZO NIÑA,,,,Precio:,,$ 839.90,,,,,
,,,,,,,,,,,,,,
,Categoría:,,BATA DESMONTABLE,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,EQ. BATA GRETA SUBLIME,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,BB1406,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BAUTIZO NIÑA,,,,Precio:,,$ 899.90,,,,,
,,,,,,,,,,,,,,
,Categoría:,,BATA DESMONTABLE,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,EQ. BATA VILANO DE AZUCAR,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Clave:,,BB2109,,,,Existencia:,,0,,,,,
,,,,,,,,,,,,,,
,Departamento:,,BAUTIZO NIÑA,,,,Precio:,,"$ 1,299.90",,,,,
,,,,,,,,,,,,,,
,Categoría:,,BATA DESMONTABLE,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
